Sequence_1     ,Sequence_2       ,Sequence_3      ,Sequence_4      ,Sequence_5     ,Sequence_6      ,Sequence_7      ,Sequence_8 ,Sequence_9     ,Sequence_10      ,Sequence_11 ,Sequence_12      ,Sequence_13    ,Sequence_14     ,Sequence_15    ,Sequence_16      ,Sequence_17      ,Sequence_18    ,Sequence_19    ,Sequence_20    ,Sequence_21    ,Sequence_22      ,Sequence_23 ,Sequence_24     ,Sequence_25     ,Sequence_26     ,Sequence_27    ,Sequence_28    ,Sequence_29     ,Sequence_30     ,Sequence_31     ,Sequence_32 ,Sequence_33     ,Sequence_34     ,Sequence_35 ,Sequence_36    ,Sequence_37    ,Sequence_38      ,Sequence_39     ,Sequence_40     ,Sequence_41    ,Sequence_42 ,Sequence_43     ,Sequence_44    ,Sequence_45    ,Sequence_46    ,Sequence_47     ,Sequence_48    ,Sequence_49      ,Sequence_50    ,Sequence_51    ,Sequence_52 ,Sequence_53 ,Sequence_54    ,Sequence_55      ,Sequence_56     ,Sequence_57    ,Sequence_58     ,Sequence_59     ,Sequence_60 ,Sequence_61     ,Sequence_62
""             ,""               ,"Seq_petra"     ,"Seq_tse"       ,""             ,""              ,""              ,""         ,""             ,"Seq_tse"        ,"Seq_petra" ,"Seq_tse"        ,"Seq_tse"      ,""              ,""             ,"Seq_BEAT"       ,"Seq_se_17rb130" ,""             ,""             ,""             ,""             ,"Seq_fl3d_ce"    ,""          ,""              ,""              ,""              ,""             ,""             ,"Seq_petra"     ,"Seq_petra"     ,""              ,""          ,""              ,"Seq_petra"     ,""          ,""             ,""             ,"Seq_BEAT"       ,"Seq_petra"     ,"Seq_fl3d_ce"   ,""             ,""          ,""              ,""             ,""             ,""             ,""              ,""             ,"Seq_tse"        ,"Seq_tse"      ,""             ,""          ,""          ,"Seq_tse"      ,"Seq_se_17rb130" ,""              ,""             ,"Seq_BEAT"      ,"Seq_tse_dixon" ,""          ,"Seq_petra"     ,"Seq_petra"
""             ,""               ,""              ,"Seq_tse"       ,""             ,""              ,""              ,""         ,""             ,"Seq_tse"        ,"Seq_tse"   ,"Seq_tfl_b1map"  ,"Seq_tse"      ,""              ,""             ,"Seq_tse"        ,""               ,""             ,""             ,""             ,""             ,"Seq_tse"        ,""          ,""              ,""              ,""              ,""             ,""             ,"Seq_tse"       ,""              ,""              ,""          ,""              ,""              ,""          ,""             ,""             ,"Seq_tse"        ,""              ,"Seq_tse"       ,""             ,""          ,""              ,""             ,""             ,""             ,""              ,""             ,"Seq_tse"        ,"Seq_tse"      ,""             ,""          ,""          ,"Seq_tse"      ,""               ,""              ,""             ,"Seq_tse"       ,"Seq_tse"       ,""          ,""              ,""
""             ,""               ,""              ,"Seq_tse"       ,""             ,""              ,""              ,""         ,""             ,"Seq_tse"        ,"Seq_tse"   ,"Seq_se_17rb130" ,"Seq_tse"      ,""              ,""             ,"Seq_fl3d_ce"    ,""               ,""             ,""             ,""             ,""             ,"Seq_tse"        ,""          ,""              ,""              ,""              ,""             ,""             ,""              ,""              ,""              ,""          ,""              ,""              ,""          ,""             ,""             ,"Seq_tse"        ,""              ,"Seq_tse"       ,""             ,""          ,""              ,""             ,""             ,""             ,""              ,""             ,"Seq_tse"        ,"Seq_tse"      ,""             ,""          ,""          ,"Seq_tse"      ,""               ,""              ,""             ,"Seq_tse"       ,"Seq_gre"       ,""          ,""              ,""
""             ,""               ,""              ,"Seq_fl3d_ce"   ,""             ,""              ,""              ,""         ,""             ,"Seq_se_17rb130" ,""          ,""               ,""             ,""              ,""             ,"Seq_fl3d_ce"    ,""               ,""             ,""             ,""             ,""             ,"Seq_se_17rb130" ,""          ,""              ,""              ,""              ,""             ,""             ,""              ,""              ,""              ,""          ,""              ,""              ,""          ,""             ,""             ,"Seq_tgse_asl"   ,""              ,"Seq_fl3d_ce"   ,""             ,""          ,""              ,""             ,""             ,""             ,""              ,""             ,"Seq_se_17rb130" ,""             ,""             ,""          ,""          ,""             ,""               ,""              ,""             ,"Seq_fl3d_ce"   ,"Seq_fl3d_ce"   ,""          ,""              ,""
""             ,""               ,""              ,"Seq_fl3d_ce"   ,""             ,""              ,""              ,""         ,""             ,""               ,""          ,""               ,""             ,""              ,""             ,"Seq_fl3d_ce"    ,""               ,""             ,""             ,""             ,""             ,""               ,""          ,""              ,""              ,""              ,""             ,""             ,""              ,""              ,""              ,""          ,""              ,""              ,""          ,""             ,""             ,"Seq_fl3d_ce"    ,""              ,"Seq_fl3d_ce"   ,""             ,""          ,""              ,""             ,""             ,""             ,""              ,""             ,""               ,""             ,""             ,""          ,""          ,""             ,""               ,""              ,""             ,"Seq_fl3d_ce"   ,"Seq_fl3d_ce"   ,""          ,""              ,""
""             ,""               ,""              ,"Seq_tse"       ,""             ,""              ,""              ,""         ,""             ,""               ,""          ,""               ,""             ,""              ,""             ,"Seq_tse"        ,""               ,""             ,""             ,""             ,""             ,""               ,""          ,""              ,""              ,""              ,""             ,""             ,""              ,""              ,""              ,""          ,""              ,""              ,""          ,""             ,""             ,"Seq_tse_dixon"  ,""              ,"Seq_tse"       ,""             ,""          ,""              ,""             ,""             ,""             ,""              ,""             ,""               ,""             ,""             ,""          ,""          ,""             ,""               ,""              ,""             ,"Seq_tse"       ,"Seq_fl3d_ce"   ,""          ,""              ,""
""             ,""               ,""              ,"Seq_tfl_b1map" ,""             ,""              ,""              ,""         ,""             ,""               ,""          ,""               ,""             ,""              ,""             ,"Seq_tfl_b1map"  ,""               ,""             ,""             ,""             ,""             ,""               ,""          ,""              ,""              ,""              ,""             ,""             ,""              ,""              ,""              ,""          ,""              ,""              ,""          ,""             ,""             ,"Seq_fl3d_ce"    ,""              ,"Seq_tfl_b1map" ,""             ,""          ,""              ,""             ,""             ,""             ,""              ,""             ,""               ,""             ,""             ,""          ,""          ,""             ,""               ,""              ,""             ,"Seq_tfl_b1map" ,"Seq_tfl"       ,""          ,""              ,""
""             ,""               ,""              ,""              ,""             ,""              ,""              ,""         ,""             ,""               ,""          ,""               ,""             ,""              ,""             ,"Seq_se_17rb130" ,""               ,""             ,""             ,""             ,""             ,""               ,""          ,""              ,""              ,""              ,""             ,""             ,""              ,""              ,""              ,""          ,""              ,""              ,""          ,""             ,""             ,"Seq_tfl_b1map"  ,""              ,""              ,""             ,""          ,""              ,""             ,""             ,""             ,""              ,""             ,""               ,""             ,""             ,""          ,""          ,""             ,""               ,""              ,""             ,""              ,"Seq_tse_dixon" ,""          ,""              ,""
""             ,""               ,""              ,""              ,""             ,""              ,""              ,""         ,""             ,""               ,""          ,""               ,""             ,""              ,""             ,""               ,""               ,""             ,""             ,""             ,""             ,""               ,""          ,""              ,""              ,""              ,""             ,""             ,""              ,""              ,""              ,""          ,""              ,""              ,""          ,""             ,""             ,"Seq_se_17rb130" ,""              ,""              ,""             ,""          ,""              ,""             ,""             ,""             ,""              ,""             ,""               ,""             ,""             ,""          ,""          ,""             ,""               ,""              ,""             ,""              ,"Seq_tse_dixon" ,""          ,""              ,""
""             ,""               ,""              ,""              ,""             ,""              ,""              ,""         ,""             ,""               ,""          ,""               ,""             ,""              ,""             ,""               ,""               ,""             ,""             ,""             ,""             ,""               ,""          ,""              ,""              ,""              ,""             ,""             ,""              ,""              ,""              ,""          ,""              ,""              ,""          ,""             ,""             ,""               ,""              ,""              ,""             ,""          ,""              ,""             ,""             ,""             ,""              ,""             ,""               ,""             ,""             ,""          ,""          ,""             ,""               ,""              ,""             ,""              ,"Seq_fl3d_ce"   ,""          ,""              ,""
""             ,""               ,""              ,""              ,""             ,""              ,""              ,""         ,""             ,""               ,""          ,""               ,""             ,""              ,""             ,""               ,""               ,""             ,""             ,""             ,""             ,""               ,""          ,""              ,""              ,""              ,""             ,""             ,""              ,""              ,""              ,""          ,""              ,""              ,""          ,""             ,""             ,""               ,""              ,""              ,""             ,""          ,""              ,""             ,""             ,""             ,""              ,""             ,""               ,""             ,""             ,""          ,""          ,""             ,""               ,""              ,""             ,""              ,""              ,""          ,""              ,""
""             ,""               ,""              ,""              ,""             ,""              ,""              ,""         ,""             ,""               ,""          ,""               ,""             ,""              ,""             ,""               ,""               ,""             ,""             ,""             ,""             ,""               ,""          ,""              ,""              ,""              ,""             ,""             ,""              ,""              ,""              ,""          ,""              ,""              ,""          ,""             ,""             ,""               ,""              ,""              ,""             ,""          ,""              ,""             ,""             ,""             ,""              ,""             ,""               ,""             ,""             ,""          ,""          ,""             ,""               ,""              ,""             ,""              ,""              ,""          ,""              ,""
""             ,""               ,""              ,""              ,""             ,""              ,""              ,""         ,""             ,""               ,""          ,""               ,""             ,""              ,""             ,""               ,""               ,""             ,""             ,""             ,""             ,""               ,""          ,""              ,""              ,""              ,""             ,""             ,""              ,""              ,""              ,""          ,""              ,""              ,""          ,""             ,""             ,""               ,""              ,""              ,""             ,""          ,""              ,""             ,""             ,""             ,""              ,""             ,""               ,""             ,""             ,""          ,""          ,""             ,""               ,""              ,""             ,""              ,""              ,""          ,""              ,""
""             ,""               ,""              ,""              ,""             ,""              ,""              ,""         ,""             ,""               ,""          ,""               ,""             ,""              ,""             ,""               ,""               ,""             ,""             ,""             ,""             ,""               ,""          ,""              ,""              ,""              ,""             ,""             ,""              ,""              ,""              ,""          ,""              ,""              ,""          ,""             ,""             ,""               ,""              ,""              ,""             ,""          ,""              ,""             ,""             ,""             ,""              ,""             ,""               ,""             ,""             ,""          ,""          ,""             ,""               ,""              ,""             ,""              ,""              ,""          ,""              ,""
""             ,""               ,""              ,""              ,""             ,""              ,""              ,""         ,""             ,""               ,""          ,""               ,""             ,""              ,""             ,""               ,""               ,""             ,""             ,""             ,""             ,""               ,""          ,""              ,""              ,""              ,""             ,""             ,""              ,""              ,""              ,""          ,""              ,""              ,""          ,""             ,""             ,""               ,""              ,""              ,""             ,""          ,""              ,""             ,""             ,""             ,""              ,""             ,""               ,""             ,""             ,""          ,""          ,""             ,""               ,""              ,""             ,""              ,""              ,""          ,""              ,""
""             ,""               ,""              ,""              ,""             ,""              ,""              ,""         ,""             ,""               ,""          ,""               ,""             ,""              ,""             ,""               ,""               ,""             ,""             ,""             ,""             ,""               ,""          ,""              ,""              ,""              ,""             ,""             ,""              ,""              ,""              ,""          ,""              ,""              ,""          ,""             ,""             ,""               ,""              ,""              ,""             ,""          ,""              ,""             ,""             ,""             ,""              ,""             ,""               ,""             ,""             ,""          ,""          ,""             ,""               ,""              ,""             ,""              ,""              ,""          ,""              ,""
""             ,""               ,""              ,""              ,""             ,""              ,""              ,""         ,""             ,""               ,""          ,""               ,""             ,""              ,""             ,""               ,""               ,""             ,""             ,""             ,""             ,""               ,""          ,""              ,""              ,""              ,""             ,""             ,""              ,""              ,""              ,""          ,""              ,""              ,""          ,""             ,""             ,""               ,""              ,""              ,""             ,""          ,""              ,""             ,""             ,""             ,""              ,""             ,""               ,""             ,""             ,""          ,""          ,""             ,""               ,""              ,""             ,""              ,""              ,""          ,""              ,""
""             ,""               ,""              ,""              ,""             ,""              ,""              ,""         ,""             ,""               ,""          ,""               ,""             ,""              ,""             ,""               ,""               ,""             ,""             ,""             ,""             ,""               ,""          ,""              ,""              ,""              ,""             ,""             ,""              ,""              ,""              ,""          ,""              ,""              ,""          ,""             ,""             ,""               ,""              ,""              ,""             ,""          ,""              ,""             ,""             ,""             ,""              ,""             ,""               ,""             ,""             ,""          ,""          ,""             ,""               ,""              ,""             ,""              ,""              ,""          ,""              ,""
""             ,""               ,""              ,""              ,""             ,""              ,""              ,""         ,""             ,""               ,""          ,""               ,""             ,""              ,""             ,""               ,""               ,""             ,""             ,""             ,""             ,""               ,""          ,""              ,""              ,""              ,""             ,""             ,""              ,""              ,""              ,""          ,""              ,""              ,""          ,""             ,""             ,""               ,""              ,""              ,""             ,""          ,""              ,""             ,""             ,""             ,""              ,""             ,""               ,""             ,""             ,""          ,""          ,""             ,""               ,""              ,""             ,""              ,""              ,""          ,""              ,""
""             ,""               ,""              ,""              ,""             ,""              ,""              ,""         ,""             ,""               ,""          ,""               ,""             ,""              ,""             ,""               ,""               ,""             ,""             ,""             ,""             ,""               ,""          ,""              ,""              ,""              ,""             ,""             ,""              ,""              ,""              ,""          ,""              ,""              ,""          ,""             ,""             ,""               ,""              ,""              ,""             ,""          ,""              ,""             ,""             ,""             ,""              ,""             ,""               ,""             ,""             ,""          ,""          ,""             ,""               ,""              ,""             ,""              ,""              ,""          ,""              ,""
""             ,""               ,""              ,""              ,""             ,""              ,""              ,""         ,""             ,""               ,""          ,""               ,""             ,""              ,""             ,""               ,""               ,""             ,""             ,""             ,""             ,""               ,""          ,""              ,""              ,""              ,""             ,""             ,""              ,""              ,""              ,""          ,""              ,""              ,""          ,""             ,""             ,""               ,""              ,""              ,""             ,""          ,""              ,""             ,""             ,""             ,""              ,""             ,""               ,""             ,""             ,""          ,""          ,""             ,""               ,""              ,""             ,""              ,""              ,""          ,""              ,""
""             ,""               ,""              ,""              ,""             ,""              ,""              ,""         ,""             ,""               ,""          ,""               ,""             ,""              ,""             ,""               ,""               ,""             ,""             ,""             ,""             ,""               ,""          ,""              ,""              ,""              ,""             ,""             ,""              ,""              ,""              ,""          ,""              ,""              ,""          ,""             ,""             ,""               ,""              ,""              ,""             ,""          ,""              ,""             ,""             ,""             ,""              ,""             ,""               ,""             ,""             ,""          ,""          ,""             ,""               ,""              ,""             ,""              ,""              ,""          ,""              ,""
""             ,""               ,""              ,""              ,""             ,""              ,""              ,""         ,""             ,""               ,""          ,""               ,""             ,""              ,""             ,""               ,""               ,""             ,""             ,""             ,""             ,""               ,""          ,""              ,""              ,""              ,""             ,""             ,""              ,""              ,""              ,""          ,""              ,""              ,""          ,""             ,""             ,""               ,""              ,""              ,""             ,""          ,""              ,""             ,""             ,""             ,""              ,""             ,""               ,""             ,""             ,""          ,""          ,""             ,""               ,""              ,""             ,""              ,""              ,""          ,""              ,""
