Sequence_34   ,Sequence_35 ,Sequence_36  ,Sequence_37  ,Sequence_38    ,Sequence_39   ,Sequence_40   ,Sequence_41  ,Sequence_42 ,Sequence_43   ,Sequence_44  ,Sequence_45  ,Sequence_46  ,Sequence_47   ,Sequence_48  ,Sequence_49    ,Sequence_50  ,Sequence_51  ,Sequence_52 ,Sequence_53 ,Sequence_54  ,Sequence_55    ,Sequence_56   ,Sequence_57  ,Sequence_58   ,Sequence_59   ,Sequence_60 ,Sequence_61   ,Sequence_62
              ,            ,             ,             ,Seq_se_17rb130 ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,Seq_tse_dixon ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,Seq_fl3d_ce   ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
              ,            ,             ,             ,               ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,              ,            ,              ,
